species
Abelmoschus manihot
Ficus rubiginosa
Ficus septica
Ficus vasta
Ficus virens
Filicium decipiens
Fimbristylis aestivalis
Fimbristylis cymosa
Fimbristylis dichotoma
Fimbristylis ferruginea
Fimbristylis littoralis
Fimbristylis schoenoides
Fissidens bryoides
Fissidens delicatulus
Fissidens elegans
Fissidens lindbergii
Fissidens pacificus
Fissidens submarginatus
Fissidens taxifolius
Fitchia speciosa
Flacourtia indica
Flaveria trinervia
Flemingia strobilifera
Flindersia brayleyana
Florestina tripteris
Floribundaria floribunda
Flueggea neowawraea
Foeniculum vulgare
Folioceros fuciformis
Fragaria chiloensis
Fragaria vesca
Frangula californica
Fraxinus griffithii
Fraxinus uhdei
Freycinetia arborea
Frullania apiculata
Frullania ericoides
Frullania hypoleuca
Frullania meyeniana
Frullania oahuensis
Frullania sandvicensis
Fuchsia boliviana
Fuchsia magellanica
Fuchsia paniculata
Furcraea foetida
Fuscocephaloziopsis connivens
Gahnia aspera
Gahnia beecheyi
Gahnia vitiensis
Gaillardia pulchella
Galaxaura divaricata
Galaxaura filamentosa
Galaxaura rugosa
Galinsoga parviflora
Galinsoga quadriradiata
Galium aparine
Galium divaricatum
Gamochaeta pensylvanica
Gamochaeta purpurea
Ganonema farinosum
Ganonema papenfussii
Ganonema pinnatum
Gardenia brighamii
Gardenia jasminoides
Gardenia latifolia
Gardenia mannii
Gardenia remyi
Gardenia taitensis
Gardenia tubifera
Gardenia volkensii
Garnotia stricta
Gayliella fimbriata
Gayliella flaccida
Gayralia oxysperma
Gelidiella acerosa
Gelidiella machrisiana
Gelidium crinale
Gelidium pluma
Gelidium pusillum
Gelidium reediae
Geniostoma cyrtandrae
Geniostoma degeneri
Geniostoma gaudichaudii
Geniostoma hedyosmifolium
Geniostoma helleri
Geniostoma hirtellum
Geniostoma hosakanum
Geniostoma kaalae
Geniostoma lorencianum
Geniostoma lydgatei
Geniostoma pumilum
Geniostoma tinifolium
Geniostoma triflorum
Geniostoma venosum
Geniostoma waialealae
Geniostoma waiolani
Geranium arboreum
Geranium cuneatum
Geranium dissectum
Geranium hillebrandii
Geranium homeanum
Geranium kauaiense
Geranium multiflorum
Gibasis pellucida
Gibsmithia dotyi
Gibsmithia hawaiiensis
Gilia capitata
Gladiolus dalenii
Gliricidia sepium
Gloiocladia iyoensis
Glossadelphus limnobioides
Glycine max
Goeppertia majestica
Goeppertia zebrina
Gomphocarpus physocarpus
Gomphrena celosioides
Gomphrena globosa
Gomphrena vermicularis
Gonocarpus chinensis
Gonocaryum calleryanum
Gossypium barbadense
Gossypium hirsutum
Gossypium tomentosum
Gouania hillebrandii
Gouania meyenii
Gracilaria abbottiana
Gracilaria bursa-pastoris
Gracilaria coronopifolia
Gracilaria lemaneiformis
Gracilaria parvispora
Gracilaria salicornia
Gracilaria tikvahiae
Gracilariopsis lemaneiformis
Grateloupia catenata
Grateloupia filicina
Grateloupia hawaiian
Grateloupia phuquocensis
Grateloupia ramosissima
Grateloupia subpectinata
Grevillea banksii
Grevillea robusta
Grewia glandulosa
Griffithsia heteromorpha
Griffithsia metcalfii
Griffithsia ovalis
Griffithsia schousboei
Griffithsia subcylindrica
Grimmia longirostris
Grimmia torquata
Grimmia trichophylla
Grona heterophylla
Grona triflora
Guaiacum officinale
Guilandina bonduc
Guilandina major
Gunnera kauaiensis
Gunnera petaloidea
Guzmania monostachia
Gymnogongrus durvillei
Gymnothamnion elegans
Gynandropsis gynandra
Gynochthodes trimera
Habenaria rodeiensis
Haematoxylum campechianum
Halimeda discoidea
Halimeda kanaloana
Halimeda opuntia
Halimeda tuna
Halophila hawaiiana
Haloplegma duperreyi
Halymenia chiangiana
Halymenia durvillei
Halymenia formosa
Hamelia patens
Haplohymenium triste
Haplopteris elongata
Haplostachys haplostachya
Haplostachys linearifolia
Haplostachys munroi
Harpullia pendula
Harrisia bonplandii
Harrisia martinii
Hedera helix
Hedychium coronarium
Hedychium flavescens
Hedychium gardnerianum
Hedychium greenii
Hedychium longicornutum
Helianthus annuus
Helichrysum foetidum
Heliconia atropurpurea
Heliconia bihai
Heliconia bourgaeana
Heliconia caribaea
Heliconia chartacea
Heliconia collinsiana
Heliconia episcopalis
Heliconia imbricata
Heliconia indica
Heliconia irrasa
Heliconia lanata
Heliconia latispatha
Heliconia mariae
Heliconia metallica
Heliconia mutisiana
Heliconia pendula
Heliconia platystachys
Heliconia psittacorum
Heliconia richardiana
Heliconia rostrata
Heliconia schumanniana
Heliconia secunda
Heliconia stricta
Heliconia talamancana
Heliconia vaginalis
Heliocarpus americanus
Heliotropium amplexicaule
Heliotropium anomalum
Heliotropium curassavicum
Heliotropium velutinum
Hellenia speciosa
Helodeaster erici
Helodeaster maviensis
Hemarthria altissima
Heptapleurum actinophyllum
Heptapleurum arboricola
Heptapleurum crassifolium
Heptapleurum ellipticum
Heptapleurum forbesii
Heptapleurum heptaphyllum
Heptapleurum insularum
Herbertus aduncus
Herbertus gracilis
Herbertus helleri
Heritiera littoralis
Hernandia moerenhoutiana
Hernandia nymphaeifolia
Herposiphonia delicatula
Herposiphonia nuda
Herposiphonia obscura
Herposiphonia pacifica
Herposiphonia parca
Herposiphonia secunda
Herposiphonia variabilis
Hesperocnide sandwicensis
Hesperomannia arborescens
Hesperomannia arbuscula
Hesperomannia lydgatei
Heterocentron subtriplinervium
Heteropogon contortus
Heterosiphonia crispella
Heterotheca grandiflora
Heterotis rotundifolia
Hibiscadelphus giffardianus
Hibiscadelphus hualalaiensis
Hibiscadelphus stellatus
Hibiscadelphus wilderianus
Hibiscus arnottianus
Hibiscus boryanus
Hibiscus brackenridgei
Hibiscus calyphyllus
Hibiscus campylosiphon
Hibiscus clayi
Hibiscus furcellatus
Hibiscus kokio
Hibiscus ovalifolius
Hibiscus rosa-sinensis
Hibiscus schizopetalus
Hibiscus waimeae
Hildenbrandia rubra
Hillebrandia sandwicensis
Hippeastrum puniceum
Hippeastrum striatum
Hippobroma longiflora
Hiptage benghalensis
Hoiokula pendens
Hoiokula sandwicensis
Holcus lanatus
Holmskioldia sanguinea
Holomitrium seticalycinum
Homalanthus populifolius
Homalanthus populneus
Homaliodendron flabellatum
Hommersandiophycus samaensis
Hookeria acutifolia
Houttuynia cordata
Hoya australis
Hunnemannia fumariifolia
Huperzia erosa
Huperzia erubescens
Huperzia haleakalae
Huperzia serrata
Huperzia subintegra
Hydnocarpus kurzii
Hydrangea arguta
Hydrangea macrophylla
Hydrocotyle bowlesioides
Hydrocotyle sibthorpioides
Hydrocotyle verticillata
Hydrodictyon reticulatum
Hydrolithon breviclavium
Hydrolithon gardineri
Hydrolithon reinboldii
Hydrolithon sargassi
Hydropuntia edulis
Hymenasplenium excisum
Hymenasplenium unilaterale
Hymenocallis littoralis
Hymenophyllum lanceolatum
Hymenophyllum obtusum
Hymenophyllum recurvum
Hyophila involuta
Hyparrhenia hirta
Hyparrhenia rufa
Hypericum mutilum
Hypericum parvulum
Hypertelis cerviana
Hypnea cervicornis
Hypnea chordacea
Hypnea chordariae
Hypnea divaricata
Hypnea musciformis
Hypnea nidifica
Hypnea pannosa
Hypnea spicifera
Hypnea spinella
Hypnea valentiae
Hypneocolax stellaris
Hypnum plumaeforme
Hypochaeris glabra
Hypochaeris radicata
Hypoglossum caloglossoides
Hypoglossum simulans
Hypolepis dicksonioides
Hypolepis hawaiiensis
Hypolepis punctata
Hyptis capitata
Ilex anomala
Ilex aquifolium
Ilex cassine
Ilex cornuta
Ilex paraguariensis
Imbribryum megalostegium
Impatiens flaccida
Impatiens sodenii
Impatiens walleriana
Indigofera spicata
Indigofera suffruticosa
Inga edulis
Inga feuillei
Ipomoea alba
Ipomoea aquatica
Ipomoea batatas
Ipomoea cairica
Ipomoea carnea
Ipomoea hederifolia
Ipomoea horsfalliae
Ipomoea imperati
Ipomoea indica
Ipomoea littoralis
Ipomoea obscura
Ipomoea ochracea
Ipomoea pes-caprae
Ipomoea triloba
Ipomoea tuboides
Ipomoea violacea
Iresine diffusa
Iris domestica
Isachne distichophylla
Isachne pallens
Ischaemum byrone
Ischaemum polystachyum
Isodendrion hosakae
Isodendrion laurifolium
Isodendrion longifolium
Isopterygium albescens
Ixora coccinea
Ixora foetida
Jacaranda mimosifolia
Jacquemontia sandwicensis
Jania adhaerens
Jania micrarthrodia
Jania novae-zelandiae
Jania pumila
Jania rosea
Jania subulata
Jasminum fluminense
Jasminum multiflorum
Jasminum polyanthum
Jasminum sambac
Jatropha curcas
Jatropha gossypiifolia
Jatropha podagrica
Joinvillea ascendens
Juncus acuminatus
Juncus bufonius
Juncus effusus
Juncus ensifolius
Juncus planifolius
Juncus polyanthemus
Juncus prismatocarpus
Juncus tenuis
Juniperus barbadensis
Juniperus bermudiana
Justicia aurea
Justicia betonica
Justicia brandegeeana
Justicia carnea
Justicia spicigera
Kadua acuminata
Kadua affinis
Kadua axillaris
Kadua centranthoides
Kadua cookiana
Kadua cordata
Kadua elatior
Kadua fluviatilis
Kadua flynnii
Kadua foggiana
Kadua formosa
Kadua haupuensis
Kadua knudsenii
Kadua littoralis
Kadua munroi
Kadua parvula
Kadua spec
Kadua tryblium
Kalanchoe beharensis
Kalanchoe crenata
Kalanchoe daigremontiana
Kalanchoe delagoensis
Kalanchoe fedtschenkoi
Kalanchoe houghtonii
Kalanchoe laetivirens
Kalanchoe lateritia
Kalanchoe pinnata
Kalanchoe rotundifolia
Kallymenia thompsonii
Kappaphycus alvarezii
Kappaphycus striatus
Keysseria helena
Kigelia africana
Klebsormidium subtile
Koeleria inaequalis
Koelreuteria elegans
Kokia cookei
Kokia drynarioides
Kokia kauaiensis
Kopsia arborea
Korthalsella complanata
Korthalsella cylindrica
Korthalsella latissima
Korthalsella platycaula
Korthalsella remyana
Kummerowia striata
Kurzia hawaica
Lablab purpureus
Lachnagrostis filiformis
Lactuca sativa
Lactuca serriola
Lagenaria siceraria
Lantana camara
Lantana montevidensis
Lantana polyacantha
Lantana strigocamara
Laphamia emoryi
Laportea aestuans
Lapsana communis
Lathyrus latifolius
Laurencia brachyclados
Laurencia decumbens
Laurencia dendroidea
Laurencia gaitsoffii
Laurencia mariannensis
Laurencia mcdermidiae
Laurencia nidifica
Laurencia parvipapillata
Laurencia succisa
Laurencia yamadana
Leea guineensis
Lejeunea adpressa
Lejeunea flava
Lejeunea laetevirens
Lejeunea pacifica
Lejolisia pacifica
Lemna aequinoctialis
Leonotis nepetifolia
Leonurus japonicus
Lepechinia hastata
Lepidium africanum
Lepidium didymum
Lepidium oblongum
Lepidium owaihiense
Lepidium serra
Lepidium virginicum
Lepidozia australis
Lepidozia sandvicensis
Lepisorus thunbergianus
Leptecophylla tameiameiae
Leptochloa panicea
Leptodontium flexifolium
Leptospermum laevigatum
Leptospermum polygalifolium
Leptospermum scoparium
Leucaena leucocephala
Leucaena spontanea
Leucobryum gracile
Leucobryum pachyphyllum
Leucobryum seemannii
Leveillea jungermannioides
Lewinskya rupestris
Liagora albicans
Liagora boergesenii
Liagora ceranoides
Liagora divaricata
Liagora orientalis
Liagora papenfussii
Liagora pinnata
Ligustrum lucidum
Ligustrum sinense
Limbella tricostata
Lindernia rotundifolia
Lindsaea capillacea
Lindsaea ensifolia
Lindsaea macraeana
Liochlaena subulata
Liparis hawaiensis
Lipochaeta connata
Lipochaeta degeneri
Lipochaeta fauriei
Lipochaeta heterophylla
Lipochaeta integrifolia
Lipochaeta kamolensis
Lipochaeta lavarum
Lipochaeta lobata
Lipochaeta micrantha
Lipochaeta remyi
Lipochaeta rockii
Lipochaeta subcordata
Lipochaeta succulenta
Lipochaeta tenuis
Lipochaeta venosa
Lithophyllum kotschyanum
Lithophyllum prototypum
Livistona chinensis
Lobelia dunbariae
Lobelia gloria-montis
Lobelia grayana
Lobelia hillebrandii
Lobelia hypoleuca
Lobelia kauaensis
Lobelia niihauensis
Lobelia villosa
Lobelia wahiawa
Lobelia yuccoides
Lobularia maritima
Lolium arundinaceum
Lolium multiflorum
Lolium perenne
Lomentaria hakodatensis
Lonicera japonica
Lophocolea autoica
Lophocolea baldwinii
Lophocolea bicuspidata
Lophocolea hawaica
Lopholejeunea nigricans
Lophosiphonia cristata
Lophospermum erubescens
Lophostemon confertus
Lotus pedunculatus
Lotus subbiflorus
Ludwigia erecta
Ludwigia octovalvis
Ludwigia palustris
Luzula hawaiiensis
Lychaete dotyana
Lychaete herpestica
Lycium sandwicense
Lycopodium venustulum
Lygodium japonicum
Lysimachia arvensis
Lysimachia daphnoides
Lysimachia glutinosa
Lysimachia hillebrandii
Lysimachia kalalauensis
Lysimachia mauritiana
Lysimachia pendens
Lysimachia remyi
Lysimachia venosa
Lythrum maritimum
Macadamia integrifolia
Macadamia tetraphylla
Macaranga mappa
Macaranga tanarius
Machaerina angustifolia
Machaerina mariscoides
Maclura pomifera
Macrocarpus perennis
Macrocoma tenuis
Macromitrium brevisetum
Macromitrium emersulum
Macromitrium microstomum
Macromitrium piliferum
Macropiper methysticum
Macropsychanthus wilsonii
Macroptilium atropurpureum
Macroptilium lathyroides
Macrothelypteris torresiana
Magnolia alba
Magnolia figo
Mallotus philippensis
Malva neglecta
Malva parviflora
Malvastrum americanum
Malvastrum corchorifolium
Malvastrum coromandelianum
Malvaviscus arboreus
Malvaviscus penduliflorus
Mammillaria prolifera
Mangifera indica
Manihot carthagenensis
Manihot esculenta
Manilkara zapota
Marattia douglasii
Marchantia antiqua
Marchantia crenata
Marchantia polymorpha
Marrubium vulgare
Marsilea villosa
Martensia flabelliformis
Matourea azurea
Mazus pumilus
Medicago lupulina
Medicago polymorpha
Medicago rugosa
Medicago sativa
Medinilla cumingii
Medinilla magnifica
Medinilla venosa
Megaceros flagellaris
Megaskepasma erythrochlamys
Megathyrsus maximus
Melaleuca quinquenervia
Melaleuca styphelioides
Melanococca tomentosa
Melanothamnus apiculatus
Melanothamnus hawaiiensis
Melanothamnus savatieri
Melanothamnus sparsus
Melanothamnus sphaerocarpus
Melastoma malabathricum
Melia azedarach
Melicoccus bijugatus
Melicope anisata
Melicope balloui
Melicope barbigera
Melicope clusiifolia
Melicope cornuta
Melicope cruciata
Melicope degeneri
Melicope elleryana
Melicope elliptica
Melicope feddei
Melicope haleakalae
Melicope haupuensis
Melicope hawaiensis
Melicope hosakae
Melicope kavaiensis
Melicope knudsenii
Melicope molokaiensis
Melicope munroi
Melicope nealae
Melicope oahuensis
Melicope orbicularis
Melicope ovata
Melicope pallida
Melicope paniculata
Melicope peduncularis
Melicope pseudoanisata
Melicope puberula
Melicope radiata
Melicope rostrata
Melicope rotundifolia
Melicope sandwicensis
Melicope sessilis
Melicope spathulata
Melicope stonei
Melicope volcanica
Melicope waialealae
Melicope wawreana
Melilotus albus
Melilotus indicus
Melinis minutiflora
Melinis repens
Melochia umbellata
Menisciopsis boydiae
Menisciopsis cyatheoides
Menisciopsis wailele
Mentha spicata
Mesembryanthemum cordifolium
Mesophyllum erubescens
Mesosphaerum pectinatum
Mesotaenium caldariorum
Metalejeunea cucullata
Metrosideros collina
Metrosideros kermadecensis
Metrosideros macropus
Metrosideros polymorpha
Metrosideros rugosa
Metrosideros tremuloides
Metrosideros waialealae
Metzgeria furcata
Metzgeria lindbergii
Mezoneuron kauaiense
Mezoneuron kavaiense
Miconia bicolor
Miconia calvescens
Miconia crenata
Microdictyon japonicum
Microdictyon setchellianum
Microdictyon umbilicatum
Microlaena stipoides
Microlepia setosa
Microlepia speluncae
Microlepia strigosa
Micromonas pusilla
Microschizaea robusta
Microsorum grossum
Microsorum scolopendria
Microsorum spectrum
Millerella myrioclada
Mimosa caesalpiniifolia
Mimosa pudica
Mimusops coriacea
Mimusops elengi
Mirabilis jalapa
Misopates orontium
Mitracarpus hirtus
Mnioloma fuscum
Modiola caroliniana
Mollugo verticillata
Momordica charantia
Monosporus indicus
Monstera adansonii
Monstera deliciosa
Montanoa hibiscifolia
Morella cerifera
Morella faya
Morelotia gahniiformis
Morinda citrifolia
Morinda pedunculata
Moringa drouhardii
Moringa oleifera
Moringa stenopetala
Morus alba
Mucuna gigantea
Mucuna pruriens
Mucuna sloanei
Muhlenbergia microsperma
Muntingia calabura
Murraya koenigii
Murraya paniculata
Musa acuminata
Musa balbisiana
Musa ornata
Musa paradisiaca
Musa troglodytarum
Musa velutina
Mussaenda philippica
Myoporum sandwicense
Myoporum stellatum
Myosotis discolor
Myriocoleopsis minutissima
Myriophyllum aquaticum
Myristica fragrans
Myrsine alyxifolia
Myrsine denticulata
Myrsine fernseei
Myrsine fosbergii
Myrsine helleri
Myrsine kauaiensis
Myrsine knudsenii
Myrsine lanaiensis
Myrsine lessertiana
Myrsine linearifolia
Myrsine petiolata
Myrsine pukooensis
Myrsine punctata
Myrsine sandwicensis
Myrsine vaccinioides
Myrsine wawraea
Najas guadalupensis
Nama sandwicense
Narcissus papyraceus
Nassella cernua
Nasturtium microphyllum
Neogoniolithon brassica-florida
Neomeris annulata
Neomeris vanbosseae
Neonotonia wightii
Neosiphonia ferulacea
Neosiphonia sertularioides
Neosiphonia subtilissima
Neosiphonia tepida
Neosiphonia tongatensis
Nephrolepis biserrata
Nephrolepis brownii
Nephrolepis cordifolia
Nephrolepis exaltata
Nephrolepis falcata
Nephrolepis hirsutula
Nephroselmis olivacea
Neraudia angulata
Neraudia kauaiensis
Neraudia melastomifolia
Neraudia ovata
Nerium oleander
Nertera granadensis
Nestegis sandwicensis
Neustanthus phaseoloides
Nicandra physalodes
Nicoteba betonica
Nicotiana glauca
Nicotiana tabacum
Nitophyllum adhaerens
Norantea guianensis
Normanbya normanbyi
Noronhia emarginata
Nothocestrum breviflorum
Nothocestrum latifolium
Nothocestrum longifolium
Nothocestrum peltatum
Notoscyphus lutescens
Nototrichium divaricatum
Nototrichium humile
Nototrichium sandwicense
Nuttallanthus texanus
Nymphaea lotus
Nymphaea nouchali
Ochna serrulata
Ochna thomasiana
Ochroma pyramidale
Ochrosia compta
Ochrosia elliptica
Ochrosia haleakalae
Ochrosia kauaiensis
Ocimum basilicum
Ocimum gratissimum
Octoblepharum albidum
Odontonema cuspidatum
Odontonema tubiforme
Odontoschisma denudatum
Odontosoria chinensis
Oenothera kunthiana
Oenothera laciniata
Oenothera stricta
Oldenlandia corymbosa
Oldenlandiopsis callitrichoides
Olea europaea
Ophioderma falcatum
Ophioderma pendulum
Ophioglossum petiolatum
Ophioglossum polyphyllum
Oplismenus compositus
Oplismenus hirtellus
Oplismenus undulatifolius
Opuntia cochenillifera
Opuntia ficus-indica
Oreobolus furcatus
Oreogrammitis baldwinii
Oreogrammitis forbesiana
Oreogrammitis hookeri
Oryza sativa
Osmundaria obtusiloba
Osmundea pinnatifida
Osteomeles anthyllidifolia
Osteospermum calendulaceum
Oxalis corniculata
Oxalis debilis
Oxyrrhynchium selaginellifolium
Oxyrrhynchium vagans
Oxyspora paniculata
Pachira aquatica
Pachira glabra
Pachystachys lutea
Pachystachys spicata
Paederia foetida
Palafoxia callosa
Palamocladium wilkesianum
Palhinhaea cernua
Palisada crustiformans
Palisada parvipapillata
Palisada perforata
Palisada thuyoides
Palisada yamadana
Palisota bracteosa
Pallavicinia baldwinii
Pallavicinia cylindrica
Pallavicinia lyellii
Palmaria palmata
Palmogloea protuberans
Pandanus tectorius
Pandanus utilis
Panicum antidotale
Panicum fauriei
Panicum konaense
Panicum lineale
Panicum nephelophilum
Panicum pellitum
Panicum ramosius
Panicum repens
Panicum tenuifolium
Panicum torridum
Panicum xerophilum
Paraserianthes lophantha
Paratrophis pendulina
Parkinsonia aculeata
Parthenium hysterophorus
Parvocaulis parvulus
Paspalum conjugatum
Paspalum dilatatum
Paspalum distichum
Paspalum fimbriatum
Paspalum jesuiticum
Paspalum langei
Paspalum mandiocanum
Paspalum notatum
Paspalum paniculatum
Paspalum pilosum
Paspalum scrobiculatum
Paspalum urvillei
Paspalum vaginatum
Passiflora bicornis
Passiflora edulis
Passiflora foetida
Passiflora laurifolia
Passiflora ligularis
Passiflora manicata
Passiflora pallida
Passiflora suberosa
Passiflora subpeltata
Passiflora tarminiana
Passiflora tripartita
Paullinia fuscescens
Pelargonium hortorum
Peleophycus multiprocarpius
Pellaea ternifolia
Peltophorum pterocarpum
Pengchengwua obtusata
Pentas lanceolata
Peperomia alternifolia
Peperomia blanda
Peperomia cookiana
Peperomia eekana
Peperomia ellipticibacca
Peperomia expallescens
Peperomia globulanthera
Peperomia hesperomannii
Peperomia hirtipetiola
Peperomia hypoleuca
Peperomia kipahuluensis
Peperomia kokeana
Peperomia latifolia
Peperomia leptostachya
Peperomia ligustrina
Peperomia macraeana
Peperomia mauiensis
Peperomia membranacea
Peperomia oahuensis
Peperomia obovatilimba
Peperomia obtusifolia
Peperomia remyi
Peperomia rockii
Peperomia sandwicensis
Peperomia tetraphylla
Pereskia grandifolia
Peristylus holochila
Perrottetia sandwicensis
Persea americana
Persicaria capitata
Persicaria chinensis
Persicaria glabra
Persicaria punctata
Petrea volubilis
Petrorhagia dubia
Petroselinum crispum
Peucedanum sandwicense
Peyssonnelia conchicola
Peyssonnelia inamoena
Peyssonnelia rubra
Phaeoceros carolinianus
Phaius tankarvilleae
Phalaris aquatica
Phaseolus lunatus
Phenax hirtus
Philadelphus karwinskyanus
Philodendron erubescens
Philodendron gloriosum
Philodendron hederaceum
Philodendron lacerum
Philodendron radiatum
Philodendron simmondsii
Philonotis falcata
Philonotis hawaiica
Philonotis sullivantii
Philonotis turneriana
Phlebodium aureum
Phlegmariurus filiformis
Phlegmariurus mannii
Phlegmariurus phyllanthus
Phoenix dactylifera
Phoenix sylvestris
Phyla nodiflora
Phyllanthus acidus
Phyllanthus amarus
Phyllanthus debilis
Phyllanthus distichus
Phyllanthus leucanthus
Phyllanthus tenellus
Phyllanthus urinaria
Phyllodictyon anastomosans
Phyllodon lingulatus
Phyllostachys aurea
Phyllostachys nigra
Phyllostegia ambigua
Phyllostegia brevidens
Phyllostegia electra
Phyllostegia floribunda
Phyllostegia glabra
Phyllostegia grandiflora
Phyllostegia macrophylla
Phyllostegia mollis
Phyllostegia racemosa
Phyllostegia renovans
Phyllostegia velutina
Phyllostegia vestita
Phyllostegia warshaueri
Phyllostegia wawrana
Physalis angulata
Physalis peruviana
Phytolacca dioica
Phytolacca icosandra
Phytolacca sandwicensis
Picralima nitida
Picris hieracioides
Pilea cadierei
Pilea hyalina
Pilea microphylla
Pilea nummulariifolia
Pilea peploides
Pilotrichella mauiensis
Pimenta dioica
Pimenta racemosa
Pinanga coronata
Pinanga maculata
Pinus caribaea
Pinus devoniana
Pinus elliottii
Pinus halepensis
Pinus patula
Pinus radiata
Piper aduncum
Piper auritum
Piper sarmentosum
Pipturus albidus
Pipturus forbesii
Pipturus kauaiensis
Pipturus ruber
Piscidia piscipula
Pisonia sandwicensis
Pistia stratiotes
Pithecellobium dulce
Pithophora roettleri
Pittosporum argentifolium
Pittosporum confertiflorum
Pittosporum gayanum
Pittosporum glabrum
Pittosporum hosmeri
Pittosporum kauaiense
Pittosporum napaliense
Pittosporum pentandrum
Pittosporum terminalioides
Pittosporum tobira
Pittosporum undulatum
Pittosporum viridiflorum
Pityrogramma austroamericana
Pityrogramma calomelanos
Pityrogramma ochracea
Plagiochila conduplicata
Plagiochila deflexa
Plagiochila gaudichaudii
Plagiochila gracillima
Plagiochila grossispina
Plagiochila hawaica
Plagiochila mauiensis
Plagiochila remyana
Plagiomnium rostratum
Plagiopus oederianus
Plagiothecium draytonii
Plakothira parviflora
Planchonella obovata
Planchonella sandwicensis
Planchonella spathulata
Plantago asiatica
Plantago australis
Plantago debilis
Plantago lanceolata
Plantago major
Plantago pachyphylla
Plantago princeps
Platycerium bifurcatum
Plectranthus verticillatus
Pleiostachya pruinosa
Plerandra osyana
Pleroma granulosum
Pleroma heteromallum
Pleroma urvilleanum
Pleurotaenium indicum
Pleurozia conchifolia
Pleurozia subinflata
Plinia cauliflora
Plocamium sandvicense
Pluchea carolinensis
Pluchea fosbergii
Pluchea indica
Pluchea odorata
Plumbago auriculata
Plumbago zeylanica
Plumeria obtusa
Plumeria pudica
Plumeria rubra
Pneophyllum conicum
Poa annua
Poa pratensis
Poa sandvicensis
Poa siphonoglossa
Podocarpus macrophyllus
Podranea ricasoliana
Pogonatum tahitense
Pohlia baldwinii
Pohlia flexuosa
Pohlia mauiensis
Polycarpon tetraphyllum
Polygala paniculata
Polypodium atropunctatum
Polypodium pellucidum
Polypogon fugax
Polypogon interruptus
Polypogon monspeliensis
Polypogon viridis
Polypremum procumbens
Polyscias bisattenuata
Polyscias cumingiana
Polyscias filicifolia
Polyscias flynnii
Polyscias fruticosa
Polyscias guilfoylei
Polyscias gymnocarpa
Polyscias hawaiensis
Polyscias kavaiensis
Polyscias lydgatei
Polyscias macgillivrayi
Polyscias nodosa
Polyscias oahuensis
Polyscias racemosa
Polyscias sandwicensis
Polyscias scutellaria
Polyscias waialealae
Polyscias waimeae
Polysiphonia beandetti
Polysiphonia hancocki
Polysiphonia homoia
Polysiphonia howei
Polysiphonia poko
Polysiphonia pulvinata
Polysiphonia scopulorum
Polysiphonia setacea
Polysiphonia upolensis
Polystachya concreta
Polystichum aculeatum
Polystichum bonseyi
Polystichum haleakalense
Polystichum hillebrandii
Polytrichum commune
Polytrichum piliferum
Pongamia pinnata
Pontederia crassipes
Pontederia vaginalis
Poranopsis paniculata
Porolithon onkodes
Porophyllum ruderale
Portieria hornemannii
Portulaca amilis
Portulaca lutea
Portulaca oleracea
Portulaca pilosa
Portulaca sclerocarpa
Portulaca umbraticola
Potamogeton foliosus
Predaea laciniosa
Predaea weldii
Premna serratifolia
Pritchardia arecina
Pritchardia bakeri
Pritchardia beccariana
Pritchardia flynnii
Pritchardia forbesiana
Pritchardia glabrata
Pritchardia hardyi
Pritchardia hillebrandii
Pritchardia kaalae
Pritchardia kahukuensis
Pritchardia lowreyana
Pritchardia maideniana
Pritchardia martii
Pritchardia minor
Pritchardia munroi
Pritchardia napaliensis
Pritchardia pacifica
Pritchardia perlmanii
Pritchardia waialealeana
Prosopis juliflora
Prosopis pallida
Protea neriifolia
Prunella vulgaris
Prunus campanulata
Prunus persica
Pseudelephantopus spicatus
Pseuderanthemum laxiflorum
Pseuderanthemum maculatum
Pseudognaphalium attenuatum
Pseudognaphalium sandwicensium
Pseudogynoxys chenopodioides
Pseudophegopteris keraudreniana
Pseudoscleropodium purum
Pseudotaxiphyllum pohliicarpum
Pseudotrachypus wallichii
Pseudotsuga menziesii
Psidium cattleianum
Psidium guajava
Psilotum complanatum
Psilotum intermedium
Psilotum nudum
Psychotria carthagenensis
Psychotria grandiflora
Psychotria greenwelliae
Psychotria hathewayi
Psychotria hawaiiensis
Psychotria hexandra
Psychotria hobdyi
Psychotria kaduana
Psychotria mariniana
Psychotria mauiensis
Psychotria punctata
Psychotria wawrae
Psydrax odoratus
Pteralyxia kauaiensis
Pteralyxia laurifolia
Pteralyxia macrocarpa
Pteridium aquilinum
Pteris cretica
Pteris hillebrandii
Pteris irregularis
Pteris terminalis
Pteris tremula
Pteris vittata
Pterocarpus indicus
Pterocladiella bulbosa
Pterocladiella caerulescens
Pterocladiella caloglossoides
Pterocladiella capillacea
Pterolepis glomerata
Ptilothamnion cladophorae
Ptychomitrium lepidomitrium
Ptychosperma propinquum
Ptychostomum hawaiicum
Pueraria montana
Punica granatum
Pyracantha koidzumii
Pyropia vietnamensis
Pyrostegia venusta
Pyrrhobryum pungens
Pyrrhobryum spiniforme
Quassia amara
Racomitrium lanuginosum
Racomitrium pruinosum
Racopilum cuspidigerum
Radermachera sinica
Radula acutangula
Radula cavifolia
Radula cordata
Radula javanica
Radulina borbonica
Ranunculus hawaiensis
Ranunculus mauiensis
Ranunculus plebeius
Ranunculus repens
Raphanus raphanistrum
Raphanus sativus
Rauvolfia sandwicensis
